Married,Age,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HistoryOfOverduePayments,h_c,s
0,0,3,700,700,2,6,0,100,70,0,0,0,0,0.10041015533383765
0,0,0,1570,3680,4,6,0,740,1600,0,0,0,0,0.05261740817587325
0,0,3,1820,310,0,6,0,1720,70,0,0,0,0,0.12332552979842099
0,0,0,1240,1250,2,6,0,70,70,0,0,0,0,0.09364190688710232
0,0,3,800,860,2,6,0,90,40,0,0,0,0,0.09950795960188025
0,0,2,960,460,0,0,0,960,50,1,2,1,0,0.32985565819633955
1,0,3,4390,360,0,0,0,4000,360,2,4,1,0,0.4885136113272482
1,0,3,9330,330,0,0,0,9330,300,0,0,0,0,0.11067129311847314
1,0,2,210,30,0,0,0,150,0,2,10,1,1,0.6999007944366639
0,0,2,3080,720,0,0,0,2810,120,0,0,0,0,0.11225195993716551
1,0,2,380,30,0,6,0,380,30,0,0,0,0,0.134890077104394
1,0,2,970,990,3,6,0,370,520,0,0,0,0,0.08618836229894804
1,0,2,0,0,0,6,0,0,0,0,0,0,1,0.13640918377568756
0,0,3,310,310,5,6,0,20,60,0,0,0,0,0.08558905584053547
0,0,1,250,30,0,0,0,180,30,1,2,1,0,0.33252826024476784
0,0,2,580,50,0,1,4,480,50,0,0,0,1,0.1414439926014025
1,0,3,640,640,5,6,0,80,150,0,0,0,0,0.08364535515870741
0,0,2,100,60,2,6,0,0,0,2,3,1,0,0.4739286687551427
1,0,1,1430,100,0,0,6,1360,100,1,13,1,1,0.6984411769829347
0,0,3,18500,580,0,0,6,18440,580,0,0,0,0,0.11492939981997807
0,0,3,1010,1010,3,6,0,130,310,0,0,0,0,0.08327287672367668
0,0,2,8200,1830,0,0,0,8200,310,0,0,0,0,0.10566563651237447
0,0,3,130,150,1,6,0,30,150,0,0,0,0,0.11395212726199838
0,0,2,640,470,0,0,4,640,0,1,3,1,1,0.4020265178191784
0,0,3,10,10,1,6,0,10,0,0,0,0,0,0.12086213594040598
0,0,2,440,70,0,0,0,360,0,1,10,1,0,0.5519738900884879
1,0,3,11950,1990,0,0,1,4050,310,0,0,0,0,0.034158081247502865
0,0,3,4850,920,0,1,0,4850,920,0,0,0,0,0.09133994493720855
1,0,2,340,350,3,6,0,70,210,0,0,0,0,0.09997077491553769
0,0,3,550,50,0,0,0,450,50,0,0,0,0,0.11918691125121599
0,0,0,1810,150,0,5,0,1810,150,0,0,0,0,0.12384609761713758
0,1,2,3480,310,0,0,5,3400,180,0,0,0,0,0.12305399488126456
0,0,3,280,60,0,6,0,280,60,0,0,0,0,0.12698974365499804
0,0,2,1340,60,0,0,5,1210,60,1,12,1,1,0.6515135286048308
1,0,2,4590,210,0,0,6,4590,210,0,0,0,0,0.14943213192319035
0,0,3,460,460,2,6,0,0,70,1,1,1,0,0.26788639818366516
0,0,2,310,60,0,0,6,280,40,0,0,0,0,0.15361582688999914
0,0,3,2820,130,0,0,6,2820,110,0,0,0,0,0.14775160446264246
0,1,2,670,320,1,6,0,370,310,0,0,0,0,0.09407674711347519
1,0,1,60,40,2,6,0,60,0,1,4,1,1,0.3788458334299456
1,0,2,2990,210,0,0,6,2940,0,1,14,1,1,0.7247194281071747
0,0,3,180,190,3,6,0,70,110,0,0,0,0,0.10000101360482429
0,0,3,2300,150,0,0,0,2300,60,0,0,0,0,0.11899449595318698
0,0,3,1510,70,0,3,3,1460,70,0,0,0,1,0.1367298171797305
1,0,2,5270,220,0,0,5,4800,220,0,0,0,0,0.13377612134423994
0,0,3,650,120,3,6,0,650,90,1,1,1,0,0.2659538429352716
0,1,2,540,300,1,1,5,540,30,0,0,0,0,0.12476632979725429
0,1,2,580,40,0,1,4,540,40,0,0,0,1,0.12759704076199307
0,0,0,80,20,1,6,0,80,20,0,0,0,0,0.12254561200459772
0,0,2,2800,370,0,0,6,2540,370,1,2,1,0,0.3547842425552744
1,0,3,260,0,0,6,0,260,0,0,0,0,0,0.13527438734193364
0,0,3,1380,160,0,3,3,1380,160,0,0,0,0,0.1342859729227418
1,0,1,140,150,3,6,0,80,110,0,0,0,0,0.10710411547470386
1,0,2,2320,5310,1,2,0,2320,60,1,6,1,0,0.42152294438387455
0,0,1,580,140,1,2,1,580,40,0,0,0,0,0.12121824908501469
0,1,3,5390,240,0,0,6,5170,240,0,0,0,0,0.12102206468840886
0,0,2,90,90,2,6,0,10,30,0,0,0,0,0.11116278749625426
0,0,2,630,80,0,0,6,520,30,1,11,1,0,0.6400667216515896
1,0,2,4580,0,0,5,0,4580,0,0,0,0,0,0.13112139549958796
1,0,3,590,580,0,6,0,590,580,0,0,0,0,0.11401648838426598
0,0,2,1450,550,0,4,0,1450,60,0,0,0,0,0.12426049651004059
1,0,1,1530,80,0,3,3,1480,80,0,0,0,0,0.14451162160775563
1,0,1,550,70,0,0,0,310,70,0,0,0,0,0.12332298510625969
1,0,2,1730,90,0,0,0,1570,90,0,0,0,0,0.12216654588861771
1,0,2,700,60,2,3,0,700,40,1,2,1,0,0.31525537471541776
0,1,0,640,640,3,6,0,90,120,0,0,0,0,0.08413833178733782
0,0,2,40,70,2,6,0,30,20,0,0,0,1,0.11265458768960089
1,0,2,150,150,3,6,0,40,0,1,4,1,0,0.35440373185178814
1,0,2,760,60,0,6,0,720,0,1,3,1,0,0.38446091613343575
1,0,2,490,490,2,6,0,10,10,0,0,0,0,0.1100380353814769
1,0,3,790,790,3,6,0,190,240,1,1,1,0,0.2471311838771312
1,0,3,2470,110,0,1,0,2470,0,1,11,1,1,0.5922078905940806
1,0,2,60,60,2,6,0,30,60,0,0,0,1,0.11634670871282266
1,0,3,10,20,3,6,0,10,20,0,0,0,0,0.10957915292669754
0,1,2,410,400,1,1,0,20,400,0,0,0,0,0.08667461782022964
0,0,3,1110,60,0,0,0,1040,0,1,13,1,1,0.631224643327542
1,0,2,3190,180,0,0,3,3140,0,1,9,1,0,0.5658812765808993
1,0,3,0,0,0,6,0,0,0,1,1,1,0,0.33357167546477856
0,0,2,520,90,0,0,4,520,30,0,0,0,0,0.1430361042996881
0,0,2,930,930,3,6,0,70,90,0,0,0,1,0.08986136385069445
1,0,3,20,20,1,6,0,0,20,1,1,1,0,0.3142120305194555
0,0,2,270,150,2,6,0,140,150,0,0,0,0,0.10643339748188096
1,0,1,90,20,2,6,0,90,0,0,0,0,0,0.1196720971895618
0,0,3,210,210,3,6,0,30,120,0,0,0,1,0.09867214797194529
1,0,2,900,60,0,0,6,890,0,1,3,1,0,0.43667047598228037
0,0,1,80,110,2,6,0,0,0,1,1,1,0,0.2889092665916153
0,0,2,310,90,0,1,0,210,90,0,0,0,1,0.11979768986264303
1,0,2,550,180,0,0,0,300,40,0,0,0,1,0.12327688698090036
0,0,1,5860,5960,1,1,5,140,5960,0,0,0,0,0.008715119717493813
1,0,1,0,0,0,6,0,0,0,0,0,0,0,0.1373093311831595
1,0,3,6870,560,0,0,0,6310,0,1,12,1,1,0.5863191812291247
1,0,1,240,160,0,6,0,240,160,0,0,0,0,0.13091936671798463
1,0,2,260,240,2,6,0,160,0,1,2,1,1,0.3212525134786357
0,0,2,8710,16140,2,3,0,120,0,0,0,0,0,0.025016046431050487
0,0,3,910,270,0,0,5,680,270,0,0,0,0,0.13330072909884882
0,0,3,4730,310,0,0,0,4730,160,0,0,0,0,0.113564783565922
0,0,2,1600,80,0,0,0,1490,70,1,6,1,1,0.4301062456493768
1,0,3,200,210,3,6,0,0,0,1,1,1,0,0.27633748769807
1,0,2,330,590,1,2,0,320,30,0,0,0,0,0.12120901630386197
1,0,2,650,660,2,6,0,230,230,0,0,0,0,0.10389667754199484
0,0,3,710,150,0,6,0,320,90,0,0,0,0,0.11876707931729268
0,0,3,10150,610,0,0,5,10130,460,0,0,0,0,0.12179320849078643
1,0,3,8890,370,0,0,0,8890,370,0,0,0,0,0.1087630525268143
0,1,3,1230,170,0,6,0,1070,50,0,0,0,0,0.1100152122694441
1,0,1,2290,160,0,0,5,1930,110,1,6,1,1,0.48614188295866545
1,0,2,1650,1650,1,3,0,1420,90,0,0,0,0,0.11452206575809241
0,0,2,700,610,4,6,0,20,30,0,0,0,0,0.08778311952703668
1,0,2,530,370,0,0,0,490,60,1,5,1,0,0.4202703187609077
0,0,2,340,40,0,0,0,220,40,1,2,1,0,0.328179428794525
1,0,3,670,670,3,6,0,160,70,0,0,0,0,0.09943230760782397
0,0,1,350,80,2,2,0,350,0,1,10,1,0,0.5229907451314392
0,0,3,1850,1160,2,2,0,1830,150,0,0,0,0,0.10184364303119588
1,0,2,2680,120,0,0,0,2680,120,0,0,0,0,0.12304681549634125
1,0,2,5320,210,0,0,1,5320,0,1,4,1,1,0.40117081056191906
1,0,2,900,60,0,0,5,790,60,0,0,0,0,0.15151528270243092
0,0,2,2930,240,0,0,0,2390,150,0,0,0,0,0.1075791213592397
0,0,2,290,320,3,6,0,0,320,0,0,0,1,0.09209041268174732
0,0,2,1340,60,0,0,5,1190,50,0,0,0,0,0.14405073636623564
1,0,1,1840,950,0,0,4,1750,70,0,0,0,1,0.1449248263502263
0,1,3,570,50,0,2,2,570,0,1,3,1,0,0.35358840654323254
1,0,2,890,370,1,2,2,520,370,0,0,0,1,0.11290192652993937
1,0,2,5320,240,0,0,2,5210,240,1,6,1,1,0.4441042608532186
0,0,3,1160,90,0,0,0,1160,90,0,0,0,0,0.11896957114247701
1,0,1,0,0,0,6,0,0,0,0,0,0,0,0.1373093311831595
1,0,2,2290,1130,0,0,3,2210,120,0,0,0,0,0.13620330971973557
0,1,2,1620,90,0,0,4,1620,60,0,0,0,0,0.1255785689805711
1,1,2,1130,50,0,0,0,1130,50,0,0,0,0,0.1130064752190429
0,1,2,260,790,3,6,0,260,0,0,0,0,0,0.09330303843280995
1,0,2,2280,2290,4,5,0,210,70,0,0,0,0,0.07175751119161636
1,0,2,1380,1000,2,6,0,0,0,1,1,1,0,0.2532133001080367
0,0,2,720,90,0,0,0,590,90,1,8,1,1,0.48561330394445307
1,0,2,570,90,0,0,5,440,90,0,0,0,0,0.15016142588474812
1,0,2,850,40,0,0,5,480,40,0,0,0,0,0.14711971842260457
0,0,1,2410,80,0,0,2,2410,80,0,0,0,0,0.12970331672142002
0,0,2,0,0,0,6,0,0,0,0,0,0,0,0.130325124053148
0,0,3,3540,130,0,0,1,3540,110,0,0,0,1,0.12101934423767749
1,0,1,520,150,2,5,0,520,150,0,0,0,0,0.11323021367036631
0,1,3,300,110,0,0,5,210,80,1,2,1,1,0.34533084983636364
1,0,2,60,60,1,6,0,50,0,2,8,1,0,0.6475171594013861
0,0,3,2510,1600,0,6,0,1920,310,0,0,0,0,0.10586325621573561
0,0,3,970,490,0,0,6,890,50,1,4,1,0,0.4419743992620544
1,0,2,3150,920,0,2,0,2720,920,0,0,0,0,0.0925388573719639
1,0,2,310,310,1,6,0,120,20,0,0,0,0,0.12284076557655377
1,0,3,790,670,3,6,0,150,670,0,0,0,0,0.08169051370515804
0,0,3,890,150,0,0,0,580,90,1,2,1,0,0.3151994843131672
0,0,3,730,110,0,0,0,580,110,1,2,1,0,0.31969425266329443
0,1,3,300,80,0,2,1,300,40,0,0,0,0,0.11435438842242132
0,0,2,940,50,0,0,0,820,50,0,0,0,0,0.11932831638403364
1,0,1,550,560,2,6,0,40,110,0,0,0,0,0.107074819360897
0,0,1,6960,810,0,0,0,6330,460,0,0,0,0,0.09454393140983594
0,0,2,230,20,1,6,0,230,0,2,9,1,1,0.6613774088102277
0,0,2,4780,310,0,0,4,4780,0,1,3,1,1,0.39453570765063295
1,0,1,980,310,0,6,0,980,310,0,0,0,0,0.12471661761911382
1,0,2,610,90,0,0,6,530,0,1,13,1,1,0.7046590751022291
0,0,3,19200,5770,0,0,1,6680,310,0,0,0,0,0.014439027121965316
0,0,2,11440,6120,3,2,0,11440,830,0,0,0,0,0.07033073518829917
0,0,2,30,0,0,6,0,30,0,0,0,0,0,0.13029835668741424
0,0,3,20,20,3,6,0,0,0,0,0,0,0,0.10484627229628951
0,0,2,580,580,1,3,2,580,40,0,0,0,0,0.12590100695632508
0,0,2,230,30,0,6,0,180,30,1,14,1,1,0.67185737154057
1,0,2,620,630,4,6,0,210,310,0,0,0,0,0.08823987085633786
0,0,2,2050,90,0,0,4,1990,90,0,0,0,0,0.13807365128809482
1,0,3,170,170,4,6,0,80,110,0,0,0,0,0.09800957457389636
0,1,2,280,60,0,0,4,280,40,1,2,1,1,0.34320943418635763
0,0,3,30,30,1,6,0,0,30,1,1,1,0,0.3019246405866359
0,0,2,160,160,2,6,0,0,0,1,1,1,0,0.2845162866374178
1,0,1,40,30,3,6,0,20,0,0,0,0,1,0.11136693432724215
0,0,2,2250,130,0,0,2,2250,110,0,0,0,0,0.12785302204478943
0,0,3,650,310,1,6,0,420,310,0,0,0,0,0.10630490692823785
0,1,2,290,350,2,2,4,290,60,0,0,0,0,0.11204590389957918
0,0,3,7750,310,0,0,6,7750,280,0,0,0,0,0.1361421010213294
0,0,3,1400,60,0,0,3,1400,60,0,0,0,0,0.13478814119620433
1,0,2,0,0,0,6,0,0,0,1,1,1,1,0.3352677730072261
1,0,1,8420,310,0,0,0,6710,310,0,0,0,0,0.08798771198240536
1,0,2,40,40,1,6,0,0,0,0,0,0,0,0.12664906637239676
1,0,3,70,70,1,6,0,10,0,0,0,0,1,0.1254033290422352
0,0,3,760,940,4,6,0,10,0,0,0,0,0,0.08679946629538887
0,0,2,2130,310,0,0,0,1660,60,0,0,0,0,0.11208250581147716
1,0,2,1520,140,0,0,0,1380,0,2,5,1,0,0.5636663496530008
0,1,3,710,150,0,3,0,400,50,0,0,0,1,0.10535463761845909
0,0,2,10,10,0,6,0,10,10,0,0,0,1,0.12994021840754266
1,0,2,350,350,3,6,0,20,0,0,0,0,0,0.1053410359887817
1,0,2,5940,260,0,0,0,5840,260,0,0,0,0,0.11384307503834452
1,0,3,4910,290,0,0,0,4780,170,0,0,0,0,0.11634596780986946
1,0,1,2630,2630,2,5,0,60,80,0,0,0,0,0.07695519378115563
0,0,2,6240,130,0,0,2,6240,0,1,3,1,0,0.370937657036149
0,0,3,3450,1530,1,3,0,2900,610,2,4,1,0,0.4360455464305423
0,0,3,480,480,2,3,0,240,80,0,0,0,0,0.10308300593324236
1,0,3,4980,180,0,0,0,4480,170,0,0,0,0,0.11042650926789745
0,0,3,10,10,0,6,0,10,10,0,0,0,0,0.1290811517764221
0,0,2,300,90,0,0,5,270,70,0,0,0,0,0.1466195742206397
0,1,3,1690,150,0,0,0,1440,60,1,6,1,0,0.3913897281758252
1,0,3,50,0,0,6,0,50,0,1,4,1,0,0.4127923483065001
1,0,3,0,0,0,6,0,0,0,1,1,1,0,0.33357167546477856
0,0,2,270,40,0,6,0,220,0,2,6,1,1,0.598527913368774
0,0,2,1820,90,0,0,4,1820,60,0,0,0,0,0.14060820028348656
1,0,3,3710,240,0,0,6,3440,100,1,13,1,0,0.6842758906057461
1,0,2,5280,100,0,0,1,2880,100,0,0,0,0,0.08971179861593873
1,0,2,1800,90,0,0,0,1450,90,0,0,0,0,0.11888257257929684
0,0,2,2760,150,0,0,0,2460,120,0,0,0,0,0.11249886063169877
0,0,3,1830,920,1,6,0,910,450,0,0,0,0,0.09118205057859745
0,0,3,6160,230,0,0,5,6160,210,0,0,0,1,0.1350745597880794
1,0,1,150,150,3,6,0,50,60,1,2,1,0,0.3022442237292808
1,0,3,0,0,0,6,0,0,0,0,0,0,0,0.13551401043998992
0,0,3,920,920,3,6,0,0,570,0,0,0,1,0.07671631487230036
1,0,3,30,720,2,6,0,0,0,2,3,1,0,0.4867274364583358
1,0,1,1570,490,0,0,4,1430,60,0,0,0,0,0.14507328597087302
1,0,1,660,660,2,3,0,90,30,0,0,0,0,0.10572921425747316
0,0,1,5110,420,0,0,0,4800,0,1,7,1,0,0.4500932202907708
1,0,1,20,40,2,6,0,20,40,1,2,1,1,0.3243664561230893
0,0,3,410,90,0,6,0,220,80,1,2,1,0,0.33365658150972977
1,0,1,970,110,0,0,6,830,110,1,12,1,0,0.6716438152618548
1,0,2,1520,50,0,0,2,1490,50,0,0,0,0,0.13629720676921922
1,0,3,230,230,4,6,0,130,20,0,0,0,0,0.10038341209004994
0,0,2,5000,220,0,0,0,4520,170,0,0,0,0,0.10633778527275997
1,0,1,6550,310,0,0,3,6360,310,0,0,0,0,0.12505588093789569
1,0,2,100,100,1,6,0,10,100,1,4,1,0,0.3843181099539747
1,1,2,470,40,0,6,0,400,20,1,11,1,1,0.5732966039529147
1,0,2,160,150,1,0,0,120,0,1,6,1,1,0.4347340368845632
0,0,3,0,0,0,6,0,0,0,1,1,1,0,0.32197243774180423
0,0,3,60,60,3,6,0,0,20,1,1,1,0,0.26952244570332284
0,0,2,1290,60,0,0,2,1290,60,1,2,1,1,0.3494600058178699
0,0,1,2480,60,0,0,5,2480,0,1,27,1,1,0.9141008475947755
0,1,2,230,40,0,0,0,160,40,0,0,0,0,0.10775849414001021
0,0,2,7300,1000,0,0,3,3660,140,0,0,0,0,0.07482243301814757
0,0,2,130,110,2,6,0,130,80,0,0,0,0,0.11078210113967002
0,0,2,1150,40,0,4,0,1150,0,1,4,1,0,0.39517300905611447
0,0,3,3240,6520,3,5,0,2480,500,0,0,0,0,0.07487211594358585
1,0,2,2930,170,0,0,0,2930,90,0,0,0,0,0.12383976364585163
0,0,3,580,580,4,6,0,0,580,1,1,1,0,0.20611197483166446
0,1,3,110,340,5,6,0,30,110,0,0,0,0,0.07713603486405485
0,0,2,14940,4960,0,0,3,14940,560,0,0,0,1,0.10330047763883438
0,0,2,4460,240,0,0,6,4120,170,0,0,0,1,0.13794771691810945
1,0,3,4220,390,0,0,4,3940,390,1,2,1,0,0.33984314836792984
1,0,2,530,90,0,0,1,250,90,0,0,0,1,0.12599051648285725
0,0,2,4090,2750,2,3,0,1510,2750,0,0,0,0,0.030992191775440204
0,0,3,1150,60,0,0,0,1070,0,1,4,1,1,0.3811791338988973
1,0,3,6290,280,0,0,6,5680,270,1,12,1,1,0.6294825528149771
0,0,3,30,30,2,6,0,30,0,0,0,0,0,0.11274163495693666
0,0,1,6740,320,0,0,0,6740,240,0,0,0,0,0.11091715798526451
0,1,3,890,850,1,1,3,440,40,0,0,0,0,0.10638115959450335
0,0,1,380,50,0,0,0,310,50,0,0,0,0,0.12145013394319362
0,0,3,1260,1260,3,3,0,0,1260,1,1,1,0,0.16260390070314495
1,0,3,500,500,3,6,0,50,200,0,0,0,0,0.09680199511668425
1,0,3,390,390,3,6,0,40,390,0,0,0,0,0.09304621985177018
1,0,2,30,30,2,6,0,30,0,1,2,1,0,0.32553713385120026
0,0,2,4710,2120,1,1,3,4710,210,0,0,0,0,0.11791480810972893
1,0,2,1320,100,0,0,0,1210,0,1,13,1,1,0.6432153566922413
0,0,3,0,0,0,6,0,0,0,1,1,1,0,0.32197243774180423
1,0,2,1550,170,0,0,6,1300,150,1,8,1,1,0.554530132845399
1,0,2,7340,220,0,0,2,7340,220,0,0,0,0,0.12522300522855853
0,1,2,30,30,1,6,0,0,30,1,1,1,1,0.2763804660060908
1,0,2,100,160,2,6,0,60,100,0,0,0,0,0.11474188291725661
1,0,1,0,20,1,6,0,0,0,0,0,0,0,0.12826257956624929
0,0,2,5420,310,0,0,6,5290,0,1,3,1,0,0.40993669253474635
0,0,3,1590,150,1,5,0,1590,60,0,0,0,0,0.11640639582439881
1,0,2,8720,460,0,0,0,8430,460,0,0,0,0,0.10240137160880108
0,0,1,3540,3540,3,5,0,90,110,0,0,0,0,0.05836229653136922
1,0,2,2040,670,0,0,3,1820,670,0,0,0,1,0.1148740710596879
1,0,2,460,460,2,6,0,10,430,0,0,0,0,0.09787534349498775
1,0,3,13090,580,0,0,6,12330,520,0,0,0,1,0.11518907417433843
1,0,3,4270,180,0,0,0,3960,150,0,0,0,0,0.11467080240221753
0,0,3,680,310,0,5,0,280,40,0,0,0,0,0.11917654630661202
1,0,1,1330,1330,3,6,0,210,120,0,0,0,1,0.09005942115731697
0,1,2,590,70,0,0,6,500,30,1,12,1,0,0.63660122152121
0,0,3,0,0,0,6,0,0,0,0,0,0,0,0.1294638913657178
0,0,2,600,150,0,6,0,430,150,0,0,0,0,0.12133346293146119
1,0,2,520,460,1,6,0,520,460,0,0,0,0,0.1109822272441795
1,0,3,2690,260,0,0,0,2420,90,0,0,0,1,0.11854428367990266
1,0,2,50,50,1,6,0,0,0,1,1,1,0,0.31611230723923384
1,0,2,50,50,1,6,0,0,0,0,0,0,0,0.12645408749573064
0,0,3,100,100,2,6,0,0,20,1,1,1,0,0.28380179661469235
0,0,2,620,150,0,6,0,290,150,1,6,1,1,0.4309594941551891
1,0,3,30,3980,3,6,0,30,10,0,0,0,1,0.1066865262573921
1,0,1,510,60,0,0,4,480,0,1,8,1,1,0.5571507151107551
1,0,1,50,50,2,6,0,20,10,1,2,1,0,0.32537303050382155
0,0,2,620,90,0,0,3,580,40,0,0,0,0,0.13637968196447167
1,0,2,1420,50,0,0,2,1420,40,0,0,0,0,0.13734006236790522
1,0,2,300,50,0,0,3,190,40,0,0,0,0,0.1416805336488692
1,0,1,600,310,0,6,0,530,310,0,0,0,0,0.1238220623741708
0,0,3,20,20,2,6,0,0,20,0,0,0,1,0.111793126889962
0,0,1,1080,250,2,6,0,1080,30,0,0,0,0,0.11228449484248174
0,0,2,890,50,0,0,0,860,40,0,0,0,0,0.12123790500548749
0,0,3,1490,90,0,0,0,1410,80,0,0,0,0,0.11769950381893597
0,0,2,360,360,3,6,0,60,80,0,0,0,0,0.09857597815263211
0,1,3,1100,60,0,6,0,1070,60,0,0,0,0,0.1119416563124436
1,0,2,2010,90,0,0,6,1850,90,1,12,1,1,0.6689103865033832
1,0,2,900,40,0,0,0,890,40,0,0,0,0,0.1273156911668596
0,1,3,320,60,0,5,0,270,60,1,6,1,1,0.41338382493364545
0,0,2,1700,70,0,0,0,1700,60,0,0,0,0,0.12036538844689462
1,0,3,1350,1370,3,6,0,500,30,0,0,0,1,0.09481139859582485
1,0,3,4340,4350,1,3,0,10,10,1,2,1,1,0.1895149418047168
1,0,2,640,90,0,0,4,480,0,1,13,1,1,0.68278813543699
1,0,2,3880,150,0,0,0,3880,150,0,0,0,1,0.12096739852309375
1,0,3,4020,2980,1,2,0,1480,60,0,0,0,0,0.07924834439901778
1,1,2,1140,100,0,0,6,1030,0,1,12,1,1,0.6491305941745181
0,0,3,50,30,2,6,0,10,20,0,0,0,0,0.11144377975802001
1,0,2,130,130,3,6,0,100,40,0,0,0,0,0.10904127428035708
1,0,2,6250,220,0,2,2,6250,220,0,0,0,0,0.12829399324462804
1,0,1,1520,70,0,2,4,1490,60,1,2,1,1,0.3872793491581081
1,0,2,540,50,0,0,5,500,50,0,0,0,1,0.1537615698979696
1,0,1,2820,2540,3,5,0,430,0,1,2,1,0,0.22538507138147784
0,1,2,940,60,0,0,5,870,60,0,0,0,0,0.1299638157669443
0,0,3,3940,2050,1,1,1,3940,140,0,0,0,0,0.11100141958340284
0,1,2,1820,60,0,0,2,1820,60,0,0,0,0,0.11589674145935847
0,0,3,30,30,1,6,0,0,30,1,1,1,1,0.3019246405866359
1,0,3,30,10,1,6,0,30,0,0,0,0,0,0.12655131530865063
0,0,3,2010,150,0,0,1,2010,90,1,5,1,1,0.41335984245105595
1,0,3,1010,370,0,0,2,940,40,0,0,0,0,0.13518899090981232
0,0,2,1380,330,0,0,0,720,120,2,4,1,1,0.49185940074276835
0,0,2,5450,4090,2,0,4,5230,330,0,0,0,0,0.10416837434901932
1,0,2,1470,890,2,1,0,40,830,0,0,0,0,0.07129294310517031
1,0,2,290,90,0,0,3,270,40,0,0,0,0,0.14341121314073943
0,0,2,310,80,0,0,5,210,80,2,8,1,1,0.6810868769451623
1,0,3,2040,70,0,0,5,1400,50,0,0,0,0,0.13930248704457113
0,0,3,15230,700,0,0,5,14580,640,0,0,0,0,0.101972804318257
1,0,3,70,70,4,6,0,10,70,0,0,0,0,0.09973620978865685
0,0,1,1480,60,0,0,4,1460,60,0,0,0,0,0.14149798664484706
0,0,3,4560,180,0,0,6,4560,0,1,3,1,0,0.4150399559063629
0,0,1,10,10,0,6,0,10,10,0,0,0,0,0.13080414365058352
0,0,2,2120,100,0,0,3,2070,100,0,0,0,0,0.13254823998192383
0,0,2,400,360,1,6,0,320,80,0,0,0,0,0.11697609703852978
0,1,3,420,420,2,5,0,120,170,1,1,1,0,0.23993851538224656
0,0,3,1640,300,0,6,0,1450,120,0,0,0,0,0.12021318541572927
0,0,2,1190,200,0,0,0,1190,200,1,2,1,0,0.319287627388727
1,0,2,6580,550,0,0,0,6230,0,1,12,1,1,0.5968583104901356
0,0,3,100,50,2,6,0,100,50,0,0,0,0,0.11106132382620316
0,0,2,5730,5940,4,5,0,200,50,0,0,0,1,0.03849387969235479
1,0,2,0,90,1,6,0,0,90,1,1,1,0,0.31157410547423525
1,0,2,15620,690,3,4,2,15240,690,0,0,0,1,0.08143736968399032
1,0,1,630,610,1,2,0,160,90,0,0,0,0,0.1121420922809422
1,0,1,1170,90,0,0,0,960,90,0,0,0,0,0.12259836935431538
0,0,3,0,0,0,6,0,0,0,0,0,0,1,0.1294638913657178
0,0,3,750,0,0,6,0,750,0,0,0,0,0,0.12879986775848104
1,0,3,4090,190,0,0,0,3890,150,0,0,0,0,0.11660894142572206
1,0,3,110,110,2,6,0,30,0,0,0,0,1,0.11665430097315074
1,0,1,50,50,3,6,0,40,20,0,0,0,0,0.11086122867987248
0,0,3,510,120,0,2,0,260,50,0,0,0,0,0.1186492563658521
1,0,3,50,50,2,6,0,30,50,0,0,0,0,0.1160778107432687
1,0,2,1540,120,0,0,4,1500,120,1,6,1,0,0.48656027171731864
1,0,2,2370,110,0,0,3,2290,110,0,0,0,0,0.13751782714255822
0,0,3,20,20,1,6,0,0,20,2,5,1,1,0.549936157337861
0,0,1,200,30,0,6,0,110,30,0,0,0,0,0.1282611518001996
0,0,3,400,370,1,6,0,10,10,0,0,0,0,0.11344025994294162
1,0,1,940,140,0,0,6,900,60,1,7,1,0,0.5451510092498004
1,0,3,5280,230,0,0,6,5250,230,0,0,0,0,0.14634473033398623
1,0,3,2090,150,0,0,0,2040,150,0,0,0,0,0.12080417408751552
1,0,2,0,0,0,6,0,0,0,0,0,0,0,0.13640918377568756
0,1,3,1210,200,0,0,6,1130,50,1,2,1,0,0.3563440369025347
0,0,1,7880,310,0,0,3,7880,310,0,0,0,0,0.12152306420178086
0,0,3,710,60,0,6,0,710,60,0,0,0,0,0.1266149042929299
0,1,2,3530,610,0,1,2,3530,150,0,0,0,0,0.11209765269733345
1,0,2,270,260,3,6,0,20,0,1,7,1,1,0.42947584574204084
1,0,2,2350,0,0,5,1,2350,0,0,0,0,0,0.13840949205505274
0,0,3,560,250,2,4,1,480,90,0,0,0,0,0.1105429387862983
0,0,3,9990,830,1,3,2,9410,830,0,0,0,0,0.08547412288634032
1,1,2,600,50,0,0,0,550,50,0,0,0,0,0.11262256598685384
1,0,2,40,40,2,6,0,10,30,0,0,0,0,0.11738275986889712
1,0,1,460,50,0,6,0,390,0,2,6,1,1,0.6117845345119416
0,0,2,3390,80,0,0,1,3390,80,0,0,0,0,0.12304778190765112
0,0,1,4190,120,0,0,1,4190,100,0,0,0,0,0.12245676462369072
1,0,3,60,60,1,6,0,0,60,0,0,0,1,0.12330549934552715
0,1,2,900,110,0,0,6,800,0,1,10,1,0,0.584018181795781
1,0,3,550,550,5,6,0,330,550,0,0,0,0,0.07817386350444293
1,0,2,230,30,0,6,0,230,0,1,3,1,1,0.38702702010385437
